rowid,toi,toipfx,tid,ctoi_alias,pl_pnum,tfopwg_disp,rastr,ra,raerr1,raerr2,decstr,dec,decerr1,decerr2,st_pmra,st_pmraerr1,st_pmraerr2,st_pmralim,st_pmrasymerr,st_pmdec,st_pmdecerr1,st_pmdecerr2,st_pmdeclim,st_pmdecsymerr,pl_tranmid,pl_tranmiderr1,pl_tranmiderr2,pl_tranmidlim,pl_tranmidsymerr,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbpersymerr,pl_trandurh,pl_trandurherr1,pl_trandurherr2,pl_trandurhlim,pl_trandurhsymerr,pl_trandep,pl_trandeperr1,pl_trandeperr2,pl_trandeplim,pl_trandepsymerr,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radesymerr,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_insolsymerr,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,pl_eqtsymerr,st_tmag,st_tmagerr1,st_tmagerr2,st_tmaglim,st_tmagsymerr,st_dist,st_disterr1,st_disterr2,st_distlim,st_distsymerr,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_teffsymerr,st_logg,st_loggerr1,st_loggerr2,st_logglim,st_loggsymerr,st_rad,st_raderr1,st_raderr2,st_radlim,st_radsymerr,toi_created,rowupdate,ls_period,ls_power,period_discrepancy_ratio,fap_ls
23,24,1021.01,1021,143994283,143994283.01,1,FP,07h57m12.18s,119.30075,,,-42d59m56.94s,-42.999149,,,-3.211,0.046,-0.046,0.0,1.0,-15.082,0.051,-0.051,0.0,1.0,2458492.90429,0.00426,-0.00426,0,1,1.90879,0.00035,-0.00035,0,1,1.909,0.231,-0.231,0,1,618.482,1.43774,-1.43774,0,1,3.34688,0.217749,-0.217749,0,1,985.807,,,,,1561.0,,,,,10.5551,0.006,-0.006,0,1,235.974,1.579,-1.579,0,1,6022.6,133.5,-133.5,0,1,4.52,0.39,-0.39,0,1,1.22,0.05,-0.05,0,1,2019-07-24 17:08:12,2021-10-29 12:59:15,6.203899374253714,0.05217120163781477,0.3076758478581246,0.0
37,38,1032.01,1032,146589986,146589986.01,1,PC,10h36m53.16s,159.221506,,,-42d32m29.9s,-42.541639,,,-15.15,0.072,-0.072,0.0,1.0,6.437,0.087,-0.087,0.0,1.0,2459283.828685,0.000897,-0.000897,0,1,5.6643704,1.09e-05,-1.09e-05,0,1,3.8087395,0.0887935,-0.0887935,0,1,3491.8232968,95.25267,-95.25267,0,1,14.7738943,0.7471176,-0.7471176,0,1,7657.6621505,,,,,2385.8536488,,,,,9.7611,0.006,-0.006,0,1,587.196,18.7865,-18.7865,0,1,10395.0,320.6,-320.6,0,1,4.13,0.07,-0.07,0,1,2.3383701,0.109357,-0.109357,0,1,2019-07-24 18:44:12,2024-01-17 10:08:02,8.80132648589052,0.0060143780463422425,0.6435814429882358,0.0
61,62,1054.01,1054,366989877,366989877.01,1,CP,20h08m27.4s,302.114174,,,-54d19m03s,-54.317501,,,1.594,0.054,-0.054,0.0,1.0,-15.903,0.049,-0.049,0.0,1.0,2460122.700139,0.019948,-0.019948,0,1,15.5077855,0.0002372,-0.0002372,0,1,4.565,0.427,-0.427,0,1,513.0,25.4443,-25.4443,0,1,2.43432,0.142957,-0.142957,0,1,88.0718,,,,,853.0,,,,,8.4362,0.006,-0.006,0,1,88.4343,0.28175,-0.28175,0,1,6122.0,194.0,-194.0,0,1,4.30881,0.268555,-0.268555,0,1,1.17,0.05,-0.05,0,1,2019-08-16 20:20:48,2023-09-14 16:02:01,9.46300992474189,0.001782603335044911,1.6387793760475198,5.865191980460279e-128
65,66,1058.01,1058,31553893,31553893.01,1,PC,19h15m38.83s,288.911772,,,-31d47m26.93s,-31.790813,,,3.226,0.082,-0.082,0.0,1.0,-16.323,0.067,-0.067,0.0,1.0,2458663.023129,0.004563,-0.004563,0,1,11.1296441,6.03e-05,-6.03e-05,0,1,7.0473822,0.3110119,-0.3110119,0,1,951.6169809,60.711002,-60.711002,0,1,12.8402271,0.8162001,-0.8162001,0,1,1255.6817164,,,,,1518.2372485,,,,,9.3781,0.007,-0.007,0,1,338.831,6.705,-6.705,0,1,5785.0,189.0,-189.0,0,1,4.344,2.00356,-2.00356,0,1,3.4475601,0.174417,-0.174417,0,1,2019-08-16 20:20:41,2024-04-25 10:08:01,8.888830283994052,0.024972555165091358,1.252093216364018,0.0
95,96,1084.01,1084,380589029,380589029.01,1,KP,17h55m33.77s,268.890707,,,-61d44m50.64s,-61.7474,,,1.031,0.04,-0.04,0.0,1.0,-17.577,0.041,-0.041,0.0,1.0,2458653.973305,0.00013,-0.00013,0,1,1.3484961,6e-07,-6e-07,0,1,2.4074261,0.0218727,-0.0218727,0,1,18463.7636682,122.78925,-122.78925,0,1,15.8824638,0.8602182,-0.8602182,0,1,2706.9606225,,,,,1839.6713042,,,,,12.2851,0.006,-0.006,0,1,494.182,12.174,-12.174,0,1,6346.0,,,0,1,4.38484,,,0,1,1.14759,0.061613,-0.061613,0,1,2019-08-16 20:20:49,2024-09-09 10:08:01,0.6742447268148342,0.025223095236268766,2.000009857504356,0.0
101,102,109.01,109,29344935,29344935.01,1,KP,20h52m51.71s,313.215475,,,-25d41m14.55s,-25.687376,,,1.053,0.052,-0.052,0.0,1.0,-9.881,0.029,-0.029,0.0,1.0,2458326.127479,0.000478,-0.000478,0,1,2.76676,2.5e-06,-2.5e-06,0,1,2.6872178,0.0726354,-0.0726354,0,1,14947.4387827,290.84625,-290.84625,0,1,12.2867389,0.3063938,-0.3063938,0,1,505.8840075,,,,,1209.5741229,,,,,13.2366,0.007,-0.007,0,1,513.011,9.1275,-9.1275,0,1,5346.0,,,0,1,4.48823,,,0,1,0.984866,,,0,1,2018-09-05 18:34:19,2024-09-09 10:08:01,9.206849728857486,0.004269855116882826,0.3005110413964949,6.994904549676675e-146
132,133,1117.01,1117,295541511,295541511.01,1,PC,18h14m24.49s,273.602061,,,-66d25m11.91s,-66.419974,,,-15.32,0.036,-0.036,0.0,1.0,-38.643,0.041,-0.041,0.0,1.0,2459386.963814,0.003038,-0.003038,0,1,2.2281625,1.51e-05,-1.51e-05,0,1,2.015,0.28,-0.28,0,1,630.0,1.19719,-1.19719,0,1,2.56778,0.178594,-0.178594,0,1,702.927,,,,,1434.0,,,,,10.4055,0.006,-0.006,0,1,167.598,0.913,-0.913,0,1,5731.0,132.8,-132.8,0,1,4.43,0.08,-0.08,0,1,1.02,0.05,-0.05,0,1,2019-08-15 15:39:15,2023-01-24 16:02:02,9.121314905871891,0.0021573652626281194,0.24428084360574037,1.2395768548118832e-57
230,231,1201.01,1201,29960110,29960110.01,1,CP,02h48m59.45s,42.2477,,,-14d32m14.22s,-14.537283,,,164.059,0.059,-0.059,0.0,1.0,46.626,0.063,-0.063,0.0,1.0,2458411.670877,0.000733,-0.000733,0,1,2.4919771,7.1e-06,-7.1e-06,0,1,1.4338141,0.2870412,-0.2870412,0,1,2093.9594201,134.34839,-134.34839,0,1,2.2187585,0.9862666,-0.9862666,0,1,39.6452664,,,,,639.9817426,,,,,10.9473,0.007,-0.007,0,1,37.8871,0.0516,-0.0516,0,1,3948.0,159.0,-159.0,0,1,4.68962,0.389814,-0.389814,0,1,0.482388,0.0146884,-0.0146884,0,1,2019-01-31 17:54:44,2024-05-17 10:08:01,2.564747067252387,0.011940610626406488,0.9716268445409141,0.0
318,319,1266.01,1266,467179528,467179528.01,1,CP,13h11m59.18s,197.996583,,,+65d50m01.31s,65.833697,,,-150.652,0.041,-0.041,0.0,1.0,-25.368,0.039,-0.039,0.0,1.0,2459649.751299,0.001187,-0.001187,0,1,10.8948421,1.22e-05,-1.22e-05,0,1,2.0719394,0.1302194,-0.1302194,0,1,3168.3853584,83.03396,-83.03396,0,1,2.4691414,0.2826709,-0.2826709,0,1,5.5137471,,,,,390.8242112,,,,,11.0402,0.007,-0.007,0,1,36.0118,0.0295,-0.0295,0,1,3618.0,157.0,-157.0,0,1,4.79432,0.0053759,-0.0053759,0,1,0.435666,0.0129388,-0.0129388,0,1,2019-10-17 00:30:12,2022-11-09 16:02:01,3.7621693005553456,0.0007071810704108503,2.895893626688139,2.753187357775087e-82
319,320,1266.02,1266,467179528,467179528.02,2,CP,13h11m59.18s,197.996583,,,+65d50m01.31s,65.833697,,,-150.652,0.041,-0.041,0.0,1.0,-25.368,0.039,-0.039,0.0,1.0,2459630.046434,0.002465,-0.002465,0,1,18.8016111,5.32e-05,-5.32e-05,0,1,1.9093524,0.2463772,-0.2463772,0,1,1686.7881033,111.67929,-111.67929,0,1,1.9112282,0.3172636,-0.3172636,0,1,2.6636757,,,,,325.8292621,,,,,11.0402,0.007,-0.007,0,1,36.0118,0.0295,-0.0295,0,1,3618.0,157.0,-157.0,0,1,4.79432,0.0053759,-0.0053759,0,1,0.435666,0.0129388,-0.0129388,0,1,2019-11-15 23:57:09,2022-11-09 16:02:01,3.7621693005553456,0.0007071810704108503,4.997545192138119,2.753187357775087e-82
